id,interval_end,last_price,volume_ETH,weighted_price
180,2017-10-02 06:10:00,301.7523,73.18757566,302.217494514
181,2017-10-02 06:20:00,302.60022997,15.72970822,301.964046764
182,2017-10-02 06:30:00,302.05,58.7452299,302.091479159
183,2017-10-02 06:40:00,302.65554996,104.34759567,302.014423815
184,2017-10-02 06:50:00,302.65533999,80.80261321,302.048545977
185,2017-10-02 07:00:00,302.2,66.92005016,302.540436231
186,2017-10-02 07:10:00,301.9859359,116.98260237,301.989445834
187,2017-10-02 07:20:00,302.0,131.70988446,301.976513114
188,2017-10-02 07:30:00,301.7539359,60.85358359,301.939959612
189,2017-10-02 07:40:00,301.79,70.57568178,302.167993284
190,2017-10-02 07:50:00,301.7539359,131.08588722,301.76293334
191,2017-10-02 08:00:00,301.6739359,259.26159269,301.741345519
192,2017-10-02 08:10:00,301.5739966,525.61025354,301.626464355
193,2017-10-02 08:20:00,301.5739966,278.4672267,301.575974884
194,2017-10-02 08:30:00,301.5739966,267.72457574,301.58293677
195,2017-10-02 08:40:00,301.6739359,47.25707139,301.776914908
196,2017-10-02 08:50:00,301.873936,22.08893344,302.232580595
197,2017-10-02 09:00:00,302.60347999,32.42755453,302.482413319
198,2017-10-02 09:10:00,302.01000004,30.20654054,302.01000004
199,2017-10-02 09:20:00,302.20564915,159.14097356,302.414765991
200,2017-10-02 09:30:00,302.0001,84.60538307,302.129324997
201,2017-10-02 09:40:00,302.62,44.79904513,302.127303709
202,2017-10-02 09:50:00,302.49999895,302.02319015,302.334209246
203,2017-10-02 10:00:00,302.49999895,36.13420675,302.676845951
204,2017-10-02 10:10:00,302.48999979,86.04218283,302.475038603
205,2017-10-02 10:20:00,303.0,121.53228012,302.751064974
206,2017-10-02 10:30:00,302.49999997,60.61962579,302.744661936
207,2017-10-02 10:40:00,302.12,9.66408681,302.257994852
208,2017-10-02 10:50:00,303.5,19.68454312,302.927642166
209,2017-10-02 11:00:00,303.49999776,52.00165207,303.371454833
210,2017-10-02 11:10:00,303.573996,69.30565436,303.495723247
211,2017-10-02 11:20:00,302.79999997,90.82439537,303.242812983
212,2017-10-02 11:30:00,302.5,123.9884355,302.585018553
213,2017-10-02 11:40:00,301.6,23.66955862,301.883221777
214,2017-10-02 11:50:00,301.3,404.65995356,301.505702204
215,2017-10-02 12:00:00,299.53100003,256.54058056,300.450646638
216,2017-10-02 12:10:00,300.5,138.55522687,300.102745503
217,2017-10-02 12:20:00,299.50000005,182.18697507,300.128778501
218,2017-10-02 12:30:00,299.41000007,179.51493367,299.688107379
219,2017-10-02 12:40:00,296.6012,560.53542994,297.972519306
220,2017-10-02 12:50:00,297.46715492,393.33799338,297.609731173
221,2017-10-02 13:00:00,298.49279999,65.99369331,298.568910459
222,2017-10-02 13:10:00,298.79208709,67.50117111,298.11308125
223,2017-10-02 13:20:00,299.66040849,83.51931261,299.056140476
224,2017-10-02 13:30:00,298.425,142.7611771,298.708511933
225,2017-10-02 13:40:00,298.42500004,18.37231719,298.555441044
226,2017-10-02 13:50:00,298.35000047,32.04525197,299.244109415
227,2017-10-02 14:00:00,299.16000006,5.00425807,299.659814484
228,2017-10-02 14:10:00,298.9,34.95937821,299.695488315
229,2017-10-02 14:20:00,298.90000048,9.35964633,298.893589787
230,2017-10-02 14:30:00,299.5,62.14150186,299.1731396
231,2017-10-02 14:40:00,299.38000024,118.1942533,299.355239315
232,2017-10-02 14:50:00,299.734822,44.30530966,299.323761368
233,2017-10-02 15:00:00,299.99628999,56.66732436,299.914511412
234,2017-10-02 15:10:00,298.331,30.15264499,299.037769025
235,2017-10-02 15:20:00,298.86999997,53.54893715,298.576257498
236,2017-10-02 15:30:00,298.48700001,44.81156304,298.547091457
237,2017-10-02 15:40:00,298.23000003,19.81900057,298.637685618
238,2017-10-02 15:50:00,297.90000003,84.8860825,298.1036943
239,2017-10-02 16:00:00,297.89999982,54.98710125,297.640214619
240,2017-10-02 16:10:00,298.10908993,51.51381174,297.33867605
241,2017-10-02 16:20:00,298.623897,42.80792631,298.304872856
242,2017-10-02 16:30:00,298.1,111.44743035,298.837795173
243,2017-10-02 16:40:00,296.89,269.62756033,297.385007213
244,2017-10-02 16:50:00,297.49999975,112.11861476,296.819482996
245,2017-10-02 17:00:00,296.88600003,46.85221512,297.125108805
246,2017-10-02 17:10:00,298.00958,37.75151142,297.354873177
247,2017-10-02 17:20:00,296.52000009,89.50731346,296.717540098
248,2017-10-02 17:30:00,296.0,315.70001884,296.499672778
249,2017-10-02 17:40:00,295.00000005,363.18695189,295.201480345
