Time,bitfinex,bitstamp,cex.io,coinbase,gemini,hitbtc,itbit,kraken,others,therocktrading
2017-11-10 02:00:00 UTC,7238.43161,7267.375888,7393.726088,7278.798816,7273.007222,7233.116846,7264.124,7283.642393,7171.663685,
2017-11-10 03:00:00 UTC,7240.539721,7270.199784,7381.088905,7277.505224,7273.974258,7231.378971,7267.669538,7300.350065,7168.514696,
2017-11-10 04:00:00 UTC,7254.235279,7287.454307,7393.120269,7288.459233,7279.925826,7243.147453,7282.09,7298.165233,7187.828479,
2017-11-10 05:00:00 UTC,7228.605192,7266.721166,7393.758207,7274.52643,7279.747683,7225.208559,7262.16693,7282.404301,7177.561952,
2017-11-10 06:00:00 UTC,7180.431426,7224.925722,7362.839151,7225.505329,7213.610186,7177.634594,7209.483348,7225.960497,7138.440242,7428.075
2017-11-10 07:00:00 UTC,7170.650863,7197.162196,7355.667215,7200.787975,7200.290707,7168.04117,7201.5309,7209.28966,7124.612257,7262.62875
2017-11-10 08:00:00 UTC,7160.859566,7185.404067,7351.081329,7184.279555,7176.481438,7164.366407,7182.181988,7177.257686,7085.209753,7257
2017-11-10 09:00:00 UTC,7132.878656,7183.117431,7332.915202,7165.518833,7171.865272,7114.958283,7141.399681,7168.511164,7070.166204,
2017-11-10 10:00:00 UTC,7081.505839,7135.096454,7290.784696,7126.428753,7113.035756,7079.710063,7114.57806,7107.680823,7043.072707,7257
2017-11-10 11:00:00 UTC,6914.802088,6953.837916,7198.706704,6976.887922,6981.348478,6903.467932,6947.947594,6984.706863,6944.042136,7256.122727
2017-11-10 12:00:00 UTC,6798.516451,6826.455958,7009.296671,6846.403261,6829.044587,6791.283514,6819.725849,6864.457348,6772.685992,6915.080667
2017-11-10 13:00:00 UTC,6754.132608,6787.712452,6979.634105,6808.484073,6778.666336,6754.668219,6769.635633,6771.962984,6709.166915,6822.833636
2017-11-10 14:00:00 UTC,6771.490248,6808.278131,7044.061392,6822.193425,6804.030895,6771.832071,6811.034121,6794.788009,6742.604091,6829.815
2017-11-10 15:00:00 UTC,6776.582734,6803.947586,7008.844457,6815.740435,6810.113151,6780.910713,6804.366509,6800.142649,6726.817684,6806.9
2017-11-10 16:00:00 UTC,6866.474188,6909.042705,7075.048275,6917.167747,6912.000223,6866.979651,6906.717937,6929.633883,7026.947406,6947.04
2017-11-10 17:00:00 UTC,6721.589545,6794.723018,6995.379912,6803.947645,6791.126293,6732.566926,6783.672006,6793.487633,6636.378956,6849.930833
2017-11-10 18:00:00 UTC,6554.150333,6601.819907,6795.381403,6601.354193,6603.545459,6531.853611,6594.08973,6598.973795,6574.614079,6687.375385
2017-11-10 19:00:00 UTC,6545.077856,6577.458661,6748.258536,6579.19864,6581.771318,6532.60138,6574.520858,6554.469499,6552.319714,6574.012
2017-11-10 20:00:00 UTC,6474.461801,6504.834443,6666.942847,6510.834566,6505.117784,6432.404452,6513.150959,6480.186284,6427.927004,6528.032857
2017-11-10 21:00:00 UTC,6540.955313,6573.387811,6669.985166,6583.123941,6568.809239,6523.029029,6564.788095,6535.432836,6422.517643,6594.783077
2017-11-10 22:00:00 UTC,6664.678763,6697.284901,6837.349662,6692.680451,6671.850558,6667.864979,6674.339392,6686.256324,6667.000534,6683.961667
2017-11-10 23:00:00 UTC,6589.346031,6633.159827,6779.019227,6635.113457,6617.381497,6579.715122,6611.210165,6619.077896,6605.274082,
2017-11-11 00:00:00 UTC,6621.279391,6660.736345,6790.273992,6659.351766,6649.957996,6611.012999,6638.932689,6636.167411,6597.738951,6699
2017-11-11 01:00:00 UTC,6732.613378,6772.540756,6903.106136,6801.050388,6787.705994,6737.023431,6763.145313,6758.29258,6694.469541,6804.483333
2017-11-11 02:00:00 UTC,6731.118776,6772.256045,6937.39707,6840.968025,6790.264308,6738.616918,6776.661739,6772.005507,6737.254678,6819.82
2017-11-11 03:00:00 UTC,6714.760052,6759.494,6920.045617,6814.410774,6769.937068,6715.999788,6763.572692,6759.785335,6723.763911,
2017-11-11 04:00:00 UTC,6729.929577,6776.054785,6943.95175,6797.983433,6798.881366,6729.39117,6769.9115,6764.525296,6726.44839,
2017-11-11 05:00:00 UTC,6684.892596,6737.819248,6892.286117,6760.658249,6737.30417,6684.217587,6732.554225,6719.882609,6704.514828,6788.54
2017-11-11 06:00:00 UTC,6659.681887,6715.001852,6868.491875,6744.293998,6732.633757,6654.204101,6706.394646,6697.403523,6655.937281,6713.98
2017-11-11 07:00:00 UTC,6613.649448,6675.707504,6843.679311,6697.71119,6696.864267,6620.717757,6671.751524,6649.299711,6628.3645,6783.54625
2017-11-11 08:00:00 UTC,6669.026111,6727.268361,6908.128253,6742.863502,6723.672886,6657.460039,6718.063404,6693.847611,6651.862774,6766.335
2017-11-11 09:00:00 UTC,6666.65777,6724.286798,6890.1168,6739.290391,6719.180609,6657.907632,6721.415,6709.132546,6606.367398,6744.17
2017-11-11 10:00:00 UTC,6598.93589,6647.367756,6822.273543,6697.353279,6656.847692,6598.307807,6663.488,6669.920513,6613.323098,6684.9825
2017-11-11 11:00:00 UTC,6503.909303,6566.426747,6746.247349,6594.313809,6564.126059,6494.370273,6542.128656,6555.240969,6543.775902,6609.635
2017-11-11 12:00:00 UTC,6353.161821,6427.201772,6584.999319,6429.127598,6413.996896,6351.354365,6386.767381,6397.344885,6412.648463,6452.938421
2017-11-11 13:00:00 UTC,6339.877882,6381.122687,6525.680718,6353.409931,6343.283604,6313.203894,6364.595186,6310.338138,6357.213607,6344.633333
2017-11-11 14:00:00 UTC,6423.317635,6491.135543,6642.932597,6460.520928,6453.09696,6426.461404,6456.705601,6436.089641,6439.634255,6474.47
2017-11-11 15:00:00 UTC,6326.349905,6402.503133,6518.808664,6374.279524,6357.56603,6320.680944,6364.918815,6281.529126,6339.393104,6401.45
2017-11-11 16:00:00 UTC,6385.675575,6458.416907,6573.216156,6419.42431,6409.713652,6366.99589,6398.141552,6357.149598,6371.99776,6387.5
2017-11-11 17:00:00 UTC,6336.112252,6401.735897,6570.819628,6378.613013,6372.891097,6331.912836,6372.252508,6333.502857,6439.607815,6442.346923
2017-11-11 18:00:00 UTC,6256.962361,6306.561967,6516.006861,6284.966317,6284.917247,6232.369131,6289.439253,6273.059852,6268.074524,6334.173529
2017-11-11 19:00:00 UTC,6298.370337,6337.388797,6534.299482,6310.150942,6296.020143,6279.738513,6306.496025,6308.948923,6271.521529,6363.536538
2017-11-11 20:00:00 UTC,6325.509614,6355.61598,6581.171099,6319.985669,6333.722002,6306.91364,6330.487974,6313.219883,6263.105175,6356.366923
2017-11-11 21:00:00 UTC,6422.259578,6445.36045,6673.870341,6420.470769,6420.653774,6425.943057,6423.048075,6419.240966,6353.152765,6434.089286
2017-11-11 22:00:00 UTC,6373.840644,6403.787978,6638.144098,6384.641043,6389.888237,6387.817431,6387.457313,6387.24237,6359.518588,6433.55
2017-11-11 23:00:00 UTC,6289.226625,6349.809297,6567.176531,6342.786728,6327.831009,6287.950102,6337.373853,6312.313408,6271.080808,6352.972222
2017-11-12 00:00:00 UTC,6250.12843,6298.338617,6535.964836,6293.486346,6285.212779,6248.622008,6305.862747,6276.582554,6231.615685,6319.156667
2017-11-12 01:00:00 UTC,6212.905709,6272.061255,6496.994834,6278.666163,6258.781578,6204.39841,6272.483478,6235.736483,6209.154749,6272.158333
2017-11-12 02:00:00 UTC,6172.877272,6242.188707,6495.38376,6234.662561,6218.599656,6173.974966,6235.285349,6183.51206,6196.431427,6241.238571
2017-11-12 03:00:00 UTC,6098.077029,6142.078186,6382.459773,6133.361801,6129.381633,6107.89598,6120.952762,6071.401522,6112.167041,
2017-11-12 04:00:00 UTC,6057.892237,6138.349545,6294.875828,6081.864237,6106.598956,6083.415947,6099.769663,6037.699267,6087.220686,6180.71
2017-11-12 05:00:00 UTC,5797.322359,5900.85041,5997.347542,5805.67214,5849.054145,5784.856264,5846.329467,5784.546716,5993.688474,5991.938448
2017-11-12 06:00:00 UTC,5630.571608,5704.976298,5832.833201,5649.077415,5622.055123,5652.815009,5604.579756,5598.446598,5671.479637,5758.308333
2017-11-12 07:00:00 UTC,5959.737851,5995.123864,6106.545005,6011.117904,5979.523438,5946.822993,5943.866342,5717.838459,5965.721265,5968.597
2017-11-12 08:00:00 UTC,6206.574076,6262.362248,6527.293186,6290.56885,6264.698649,6220.484238,6257.022381,6015.238304,6210.428053,6246.084545
2017-11-12 09:00:00 UTC,6038.766315,6125.311116,6243.348238,6128.464392,6095.866787,6054.760991,6102.203283,5982.80648,6082.209431,6139.353043
2017-11-12 10:00:00 UTC,6219.345831,6269.847226,6423.014342,6258.418645,6235.179129,6244.773686,6231.68802,6171.706245,6206.948351,6286.935
2017-11-12 11:00:00 UTC,6351.106713,6405.528074,6592.804261,6392.279,6384.503562,6414.203821,6367.788531,6374.428177,6377.738673,6438.226364
2017-11-12 12:00:00 UTC,6224.89756,6292.706074,6504.432384,6258.273043,6257.312423,6250.34655,6250.183837,6256.816269,6301.826569,6314.829091
2017-11-12 13:00:00 UTC,6054.653496,6108.050044,6436.506323,6085.116779,6084.952155,6092.76876,6077.934096,6061.888961,6103.046211,6167.273333
